areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,title,addr1,addr2,tel,zipcode,sigungu
38,A02,A0203,A02030400,2518765,12,20171130000022,http://tong.visitkorea.or.kr/cms/resource/23/2026123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2026123_image3_1.jpg,126.8621585545,34.1718000440,,20180720143515,320.0,18.0,‘서편제’ 촬영지,전라남도 완도군 청산면 당락리,656,061-550-6495,,18
32,A02,A0204,A02040600,2360786,12,20160111104045,http://tong.visitkorea.or.kr/cms/resource/75/2360775_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2360775_image2_1.jpg,128.5216381039,38.3343742648,6.0,20200826111723,3693.0,2.0,㈜강원심층수,강원도 고성군 죽왕면 심층수길 124-19,(죽왕면),,24747,2
31,B02,B0201,B02010100,2662318,32,20200706151251,,,127.4382031674,37.5058140636,6.0,20200709160145,0.0,19.0,㈜블랙스톤리조트 양평지점 더 힐하우스(힐하우스),경기도 양평군 강하면 강남로 489,,031-771-0001,12575,19
1,B02,B0201,B02010900,1747824,32,20121105144638,http://tong.visitkorea.or.kr/cms/resource/22/1744722_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1744722_image3_1.jpg,126.8605382972,37.5322339006,6.0,20201109162714,16412.0,4.0,㈜코스테이,서울특별시 강서구 곰달래로 247,,02-2643-8800,07741,4
1,A05,A0502,A05020300,2598695,39,20190423110214,http://tong.visitkorea.or.kr/cms/resource/19/2598719_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/2598719_image2_1.JPG,126.9575071394,37.5356935654,6.0,20200731153601,39.0,21.0,㈜피에프비파트너스 마린칸토,서울특별시 용산구 청파로 74,,02-712-5005,04372,21
34,B02,B0201,B02010900,1268116,32,20110502105930,,,126.1428100177,36.7840997505,6.0,20200417172459,19004.0,14.0,샾모텔,충청남도 태안군 소원면 서해로 20-6,,041-672-0980,32123,14
2,B02,B0201,B02010900,1832039,32,20130730161506,http://tong.visitkorea.or.kr/cms/resource/51/1832051_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/1832051_image2_1.JPG,126.6825676095,37.4616750515,6.0,20201109105613,4185.0,3.0,샾호텔,인천광역시 미추홀구 미추홀대로722번길 40,,032-426-0333,22135,3
31,B02,B0201,B02010700,983886,32,20100323145640,http://tong.visitkorea.or.kr/cms/resource/85/1786785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1786785_image3_1.jpg,127.3943459429,37.6055350250,6.0,20200521152256,18563.0,19.0,가가펜션,경기도 양평군 서종면 풀무길 31,,031-773-2300,12501,19
38,A03,A0303,A03030600,131110,28,20030103000000,http://tong.visitkorea.or.kr/cms/resource/78/1628378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1628378_image3_1.jpg,125.1256916285,34.0521915186,6.0,20200713131300,22420.0,12.0,가거도,전라남도 신안군 흑산면 가거도길 41-2,,061-240-8620,58866,12
38,A01,A0101,A01011300,127480,12,20030905000000,http://tong.visitkorea.or.kr/cms/resource/32/2026832_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/2026832_image2_1.JPG,125.1125145360,34.0740166502,6.0,20210331143333,129535.0,12.0,가거도(소흑산도),전라남도 신안군 흑산면 가거도길 38-2,(흑산면),,58866,12
